KOD_DISC,NAME_DISC,NAME_DIV
"7669","Інтегровані середовища розробки програмного забезпечення","секція інформаційно-комунікаційних технологій"
"7671","Програмування під платформу. Net Framework - КР","секція інформаційно-комунікаційних технологій"
"7672","Теоретичні основи програмування","секція інформаційно-комунікаційних технологій"
"7673","Методи та засоби розробки веб-орієнтованих додатків","секція інформаційно-комунікаційних технологій"
"7674","Основи математичної теорії систем","секція інформаційно-комунікаційних технологій"
"7675","Мультисервісні мережі Ethernet","секція інформаційно-комунікаційних технологій"
"7678","Технологія проектування програмних систем","секція інформаційно-комунікаційних технологій"
"7679","Back-end розробка веб-ресурсів","секція інформаційно-комунікаційних технологій"
"7686","Java Standard Edition","секція інформаційно-комунікаційних технологій"
"7691","Java Enterprise Edition","секція інформаційно-комунікаційних технологій"
"7693","Алгоритми захисту інформації - КР","секція інформаційно-комунікаційних технологій"
"7695","Спецкурс із загальних навчальних компетенцій","Кафедра конституційного права, теорії та історії держави і права"
"7696","Базовий правничий спецкурс","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"7697","Вступ до бази даних","секція ""Комп`ютеризовані системи управління"""
"7698","Комп'ютерне моделювання в електроніці","Кафедра електроніки та комп`ютерної техніки"
"7699","Прикладна теорія комп'ютерної електроніки","Кафедра електроніки та комп`ютерної техніки"
"7701","Алгоритмічні мови програмування в комп'ютерних технологіях","Кафедра електроніки, загальної та прикладної фізики"
"7702","Інтерфейсне забезпечення мобільних комп'ютерних систем","Кафедра електроніки та комп`ютерної техніки"
"7703","Інформаційні основи комп'ютерної техніки","Кафедра електроніки та комп`ютерної техніки"
"7704","Інтерфейси введення-виведення даних","Кафедра електроніки та комп`ютерної техніки"
"7705","Магніто-неоднорідні матеріали електронної техніки","Кафедра електроніки, загальної та прикладної фізики"
"7706","Прилади і пристрої оптоелектроніки та спінтроніки - КР","Кафедра електроніки, загальної та прикладної фізики"
"7707","Комп'ютерна схемотехніка - КР","Кафедра електроніки та комп`ютерної техніки"
"7708","Інформаційні та веб-технології","Кафедра електроніки, загальної та прикладної фізики"
"7709","Програмування вбудованих промислових комп'ютерних систем","Кафедра електроніки та комп`ютерної техніки"
"7710","Кодування інформації в промислових комп'ютерних системах","Кафедра електроніки та комп`ютерної техніки"
"7725","Прилади і методи дослідження плівкових матеріалів електроніки","Кафедра електроніки, загальної та прикладної фізики"
"7727","Чисельні методи моделювання фізичних систем","Кафедра наноелектроніки"
"7728","Електромагнітне та радіоактивне випромінювання в медицині","Кафедра наноелектроніки"
"7729","Схемотехніка термінальних пристроїв","Кафедра електроніки та комп`ютерної техніки"
"7730","Інформаційні основи телекомунікацій","Кафедра електроніки та комп`ютерної техніки"
"7731","Схемотехніка термінальних пристроїв - КР","Кафедра електроніки та комп`ютерної техніки"
"7732","Internet - протоколи","Кафедра електроніки та комп`ютерної техніки"
"7733","Основи кібербезпеки в інформаційних мережах","Кафедра електроніки та комп`ютерної техніки"
"7734","Мережеві протоколи обміну даними","Кафедра електроніки та комп`ютерної техніки"
"7735","Перетворювальна техніка систем зв'язку","Кафедра електроніки та комп`ютерної техніки"
"7736","Прикладне програмування в інформаційних мережах","Кафедра електроніки та комп`ютерної техніки"
"7737","Мережеве програмне забезпечення","Кафедра електроніки та комп`ютерної техніки"
"7745","Муніципальне управління","Кафедра управління"
"7746","Управління ресурсами в муніципальній сфері","Кафедра управління"
"7747","Управління економічним потенціалом міста","Кафедра управління"
"7748","Організаційно-управлінські основи публічної служби та техніка адміністративної діяльності","Кафедра управління"
"7749","Управління кризовими ситуаціями","Кафедра управління"
"7750","Оцінка активів підприємств та організацій міста","Кафедра управління"
"7751","Сталий розвиток міста та екологічна безпека","Кафедра управління"
"7752","Комплексний іспит за фахом","Кафедра управління"
"7757","Міжнародний інвестиційний аналіз","Кафедра міжнародних економічних відносин"
"7758","Міжнародний інвестиційний аналіз - КР","Кафедра міжнародних економічних відносин"
"7759","Міжнародні торгові моделі","Кафедра міжнародних економічних відносин"
"7761","Міжнародна політика","Кафедра міжнародних економічних відносин"
"7762","Світові ринки та бізнес","Кафедра міжнародних економічних відносин"
"7763","Світові ринки та бізнес - КР","Кафедра міжнародних економічних відносин"
"7764","Бізнес-аналітика та крос-національні дослідження","Кафедра міжнародних економічних відносин"
"7788","Мала холодильна техніка та холодильний транспорт","Кафедра технічної теплофізики"
